account,in_amount,out_amount,in_count,out_count,distinct_counterparties,avg_amount,cycle_count,cycle_norm,burst_norm,struct_norm,pagerank_norm,risk_score,risk_category,top_reason
AC0030,26300.0,25200.0,2,2,3,12875.0,2,1.0,1.0,0.0,0.42324371205550737,0.763486556808326,High,Cycle(2)
AC0040,1500.0,1300.0,1,1,2,1400.0,1,0.5,0.3333333333333333,1.0,0.0008673026886383347,0.4584634287366291,Medium,"Cycle(1), Structuring"
AC0035,1200.0,1500.0,1,1,2,1350.0,1,0.5,0.3333333333333333,1.0,0.0,0.45833333333333337,Medium,"Cycle(1), Structuring"
AC0021,60000.0,58000.0,1,1,2,59000.0,1,0.5,0.3333333333333333,0.0,1.0,0.45833333333333337,Medium,Cycle(1)
AC0020,57000.0,60000.0,1,1,2,58500.0,1,0.5,0.3333333333333333,0.0,0.9913269731136166,0.4570323793003758,Medium,Cycle(1)
AC0022,58000.0,57000.0,1,1,2,57500.0,1,0.5,0.3333333333333333,0.0,0.97398091934085,0.45443047123446084,Medium,Cycle(1)
AC0012,54000.0,56000.0,1,1,2,55000.0,1,0.5,0.3333333333333333,0.0,0.9306157849089333,0.44792570106967333,Medium,Cycle(1)
AC0010,56000.0,52000.0,1,1,2,54000.0,1,0.5,0.3333333333333333,0.0,0.9132697311361665,0.44532379300375835,Medium,Cycle(1)
AC0011,52000.0,54000.0,1,1,2,53000.0,1,0.5,0.3333333333333333,0.0,0.8959236773633998,0.4427218849378433,Medium,Cycle(1)
AC0003,47000.0,49000.0,1,1,2,48000.0,1,0.5,0.3333333333333333,0.0,0.8091934084995663,0.4297123446082683,Medium,Cycle(1)
AC0001,49000.0,45000.0,1,1,2,47000.0,1,0.5,0.3333333333333333,0.0,0.7918473547267997,0.4271104365423533,Medium,Cycle(1)
AC0002,45000.0,47000.0,1,1,2,46000.0,1,0.5,0.3333333333333333,0.0,0.7745013009540329,0.4245085284764383,Medium,Cycle(1)
